time_index,station_id,nb_velos_dispo,nb_places_dispo,latitude,longitude,ratio
0931,125,0,20,50.643883,3.118579,0.0
0931,20,7,23,50.640385,3.062053,0.23333333333333334
0931,29,1,27,50.647236,3.059376,0.03571428571428571
0931,159,8,32,50.637726,3.071892,0.2
0931,88,23,7,50.635082,3.058015,0.7666666666666667
0931,177,7,7,50.616763,3.023032,0.5
0931,119,9,9,50.640957,3.018803,0.5
0931,49,12,12,50.61957,3.068387,0.5
0931,268,0,16,50.6967934,3.1684926,0.0
0931,270,0,20,50.664211,3.130098,0.0
0931,108,0,20,50.645267,3.100516,0.0
0931,52,0,22,50.62276,3.063799,0.0
0931,85,7,5,50.62504,3.1008,0.5833333333333334
0931,249,4,8,50.728798,3.154051,0.3333333333333333
0931,258,0,11,50.710735,3.159881,0.0
0931,123,6,11,50.665348,3.075792,0.35294117647058826
0931,188,1,11,50.637103,3.097538,0.08333333333333333
0931,24,25,15,50.637078,3.070774,0.625
0931,33,11,15,50.63022,3.035681,0.4230769230769231
0931,70,8,8,50.63424,3.073991,0.5
0931,243,3,9,50.718204,3.15749,0.25
0931,276,8,12,50.67756,3.14019,0.4
0931,299,0,1,50.6151322,3.0863797,0.0
0931,156,21,3,50.661602,3.050322,0.875
0931,266,4,8,50.6875,3.1585592,0.3333333333333333
0931,313,9,11,50.666236,3.06415,0.45
0931,124,5,13,50.6618,3.096235,0.2777777777777778
0931,80,14,16,50.61989,3.084357,0.4666666666666667
0931,57,1,17,50.62418,3.058902,0.05555555555555555
0931,23,12,6,50.639107,3.065548,0.6666666666666666
0931,226,6,9,50.68645,3.170006,0.4
0931,72,7,11,50.637302,3.024314,0.3888888888888889
0931,41,4,12,50.656487,3.088004,0.25
0931,274,7,13,50.667847,3.192974,0.35
0931,205,0,18,50.69106,3.1902585,0.0
0931,271,16,4,50.669867,3.131048,0.8
0931,255,7,5,50.7134,3.165011,0.5833333333333334
0931,184,1,11,50.651107,3.0678,0.08333333333333333
0931,160,7,13,50.637709,3.077478,0.35
0931,77,1,17,50.62286,3.0914,0.05555555555555555
0931,179,0,20,50.626063,3.090931,0.0
0931,262,0,1,50.701187,3.215011,0.0
0931,68,21,3,50.630836,3.047778,0.875
0931,265,4,12,50.67441,3.14721,0.25
0931,272,4,14,50.671517,3.183123,0.2222222222222222
0931,71,8,14,50.634045,3.030778,0.36363636363636365
0931,132,3,15,50.61606,3.132006,0.16666666666666666
0931,61,4,20,50.629246,3.075218,0.16666666666666666
0931,5,8,32,50.63156,3.054738,0.2
0931,229,15,3,50.692368,3.185092,0.8333333333333334
0931,173,13,7,50.61352,3.03677,0.65
0931,228,0,7,50.69535,3.180779,0.0
0931,273,11,9,50.670865,3.198875,0.55
0931,18,3,11,50.6428,3.055932,0.21428571428571427
0931,38,4,14,50.62429,3.045321,0.2222222222222222
0931,302,0,20,50.60301,3.06925,0.0
0931,95,18,0,50.63041,3.097037,1.0
0931,165,3,11,50.632367,3.05816,0.21428571428571427
0931,232,3,11,50.699734,3.174347,0.21428571428571427
0931,104,6,12,50.64584,3.112744,0.3333333333333333
0931,131,11,14,50.619602,3.13197,0.44
0931,135,10,14,50.63745,3.123145,0.4166666666666667
0931,93,2,16,50.628918,3.088147,0.1111111111111111
0931,141,8,16,50.61682,3.140808,0.3333333333333333
0931,199,15,5,50.612921,3.003634,0.75
0931,223,7,5,50.6903353,3.1690075,0.5833333333333334
0931,32,10,6,50.64142,3.067873,0.625
0931,60,8,12,50.621185,3.072363,0.4
0931,203,2,18,50.68079,3.167454,0.1
0931,176,9,7,50.604525,3.031224,0.5625
0931,267,12,8,50.670155,3.154898,0.6
0931,180,7,8,50.652107,3.029324,0.4666666666666667
0931,233,0,16,50.702026,3.172654,0.0
0931,90,0,20,50.64569,3.0858226,0.0
0931,53,4,34,50.61856,3.049251,0.10526315789473684
0931,81,6,4,50.63529,3.115088,0.6
0931,211,13,5,50.674164,3.174519,0.7222222222222222
0931,174,21,6,50.607664,3.038892,0.7777777777777778
0931,122,8,8,50.666033,3.087591,0.5
0931,192,5,9,50.6312847,3.1350379,0.35714285714285715
0931,216,6,10,50.681797,3.194122,0.375
0931,150,9,15,50.60548,3.077622,0.375
0931,238,1,16,50.72075,3.152659,0.058823529411764705
0931,153,7,17,50.65547,3.064989,0.2916666666666667
0931,100,1,23,50.651638,3.081625,0.041666666666666664
0931,305,15,5,50.67057,3.1443,0.75
0931,236,6,5,50.694714,3.192643,0.5454545454545454
0931,186,6,6,50.672415,3.0924237,0.5
0931,227,8,10,50.699436,3.159658,0.4444444444444444
0931,154,4,12,50.65532,3.060615,0.25
0931,30,3,16,50.64297,3.067375,0.15789473684210525
0931,39,4,19,50.627674,3.050173,0.17391304347826086
0931,15,3,21,50.6449,3.050645,0.125
0931,218,0,24,50.67392,3.18514,0.0
0931,64,18,2,50.6318,3.071392,0.9
0931,221,18,11,50.69184,3.173925,0.6206896551724138
0931,301,1,19,50.65281,3.02604,0.05
0931,222,0,12,50.6941,3.172165,0.0
0931,303,3,17,50.60709,3.06558,0.15
0931,73,1,23,50.642315,3.087979,0.041666666666666664
0931,43,0,32,50.629044,3.058288,0.0
0931,26,20,2,50.63457,3.068007,0.9090909090909091
0931,304,17,3,50.66351,3.138682,0.85
0931,86,6,6,50.62903,3.10295,0.5
0931,166,9,7,50.63084,3.04483,0.5625
0931,250,15,7,50.72389,3.160344,0.6818181818181818
0931,237,4,8,50.719803,3.156338,0.3333333333333333
0931,172,2,9,50.612635,3.059261,0.18181818181818182
0931,256,6,10,50.73682,3.1712308,0.375
0931,254,4,14,50.71732,3.162455,0.2222222222222222
0931,260,4,16,50.721308,3.158104,0.2
0931,79,4,16,50.61295,3.047268,0.2
0931,13,13,5,50.63671,3.054773,0.7222222222222222
0931,139,7,9,50.62577,3.144714,0.4375
0931,40,18,10,50.62614,3.051729,0.6428571428571429
0931,206,11,12,50.688015,3.174815,0.4782608695652174
0931,152,1,15,50.610582,3.065103,0.0625
0931,309,8,16,50.610949,2.983948,0.3333333333333333
0931,167,0,20,50.626382,3.047066,0.0
0931,138,17,3,50.631298,3.126914,0.85
0931,196,8,9,50.636003,3.009396,0.47058823529411764
0931,19,12,12,50.64031,3.05774,0.5
0931,97,3,14,50.65937,3.074057,0.17647058823529413
0931,3,17,1,50.636093,3.050447,0.9444444444444444
0931,128,0,1,50.633842,3.127335,0.0
0931,76,21,3,50.632996,3.089651,0.875
0931,126,0,3,50.64057,3.115571,0.0
0931,242,5,13,50.716843,3.167834,0.2777777777777778
0931,312,6,14,50.672499,3.069317,0.3
0931,130,11,19,50.62435,3.1283,0.36666666666666664
0931,54,0,20,50.62338,3.051565,0.0
0931,48,24,2,50.61843,3.07241,0.9230769230769231
0931,253,5,7,50.72498,3.150884,0.4166666666666667
0931,28,30,10,50.634686,3.048344,0.75
0931,169,0,12,50.644685,3.057953,0.0
0931,178,6,12,50.615246,3.018435,0.3333333333333333
0931,261,0,13,50.732277,3.157656,0.0
0931,16,3,13,50.646225,3.053499,0.1875
0931,114,0,16,50.62651,3.079211,0.0
0931,163,0,19,50.625597,3.064497,0.0
0931,202,1,23,50.677914,3.162353,0.041666666666666664
0931,27,5,31,50.635014,3.064802,0.1388888888888889
0931,7,13,3,50.633728,3.055307,0.8125
0931,240,5,7,50.71922,3.163396,0.4166666666666667
0931,197,9,11,50.630834,3.013247,0.45
0931,120,6,12,50.63899,3.01154,0.3333333333333333
0931,142,8,12,50.6206,3.138207,0.4
0931,22,15,14,50.64144,3.064974,0.5172413793103449
0931,140,0,14,50.623795,3.144815,0.0
0931,231,0,10,50.689762,3.177179,0.0
0931,246,2,10,50.72271,3.163794,0.16666666666666666
0931,275,9,11,50.665946,3.198101,0.45
0931,58,8,12,50.62073,3.07895,0.4
0931,47,9,17,50.62824,3.069233,0.34615384615384615
0931,111,6,6,50.62486,3.116677,0.5
0931,248,6,6,50.728798,3.158835,0.5
0931,158,10,10,50.644943,3.036932,0.5
0931,42,6,11,50.62789,3.06209,0.35294117647058826
0931,310,9,11,50.676607,3.065308,0.45
0931,225,1,15,50.683987,3.16327,0.0625
0931,62,14,16,50.632965,3.076437,0.4666666666666667
0931,56,1,17,50.620304,3.055471,0.05555555555555555
0931,50,3,22,50.62224,3.067004,0.12
0931,8,6,34,50.632366,3.062313,0.15
0931,146,17,2,50.63268,3.052483,0.8947368421052632
0931,151,2,11,50.60642,3.072209,0.15384615384615385
0931,110,3,13,50.62487,3.034234,0.1875
0931,269,6,14,50.676944,3.167306,0.3
0931,82,8,24,50.63999,3.075204,0.25
0931,200,0,24,50.679123,3.155906,0.0
0931,143,0,1,50.61776,3.146026,0.0
0931,190,7,7,50.662941,3.057167,0.5
0931,194,11,9,50.665968,3.049462,0.55
0931,63,19,13,50.629738,3.078224,0.59375
0931,307,2,18,50.61245,3.12268,0.1
0931,185,3,9,50.65722,3.056147,0.25
0931,300,6,14,50.64466,3.03027,0.3
0931,217,0,16,50.67869,3.172558,0.0
0931,65,0,18,50.621128,3.035483,0.0
0931,74,2,18,50.641238,3.083175,0.1
0931,117,3,18,50.641617,3.031375,0.14285714285714285
0931,6,5,19,50.630943,3.060299,0.20833333333333334
0931,193,17,3,50.658146,3.042003,0.85
0931,25,21,11,50.636399,3.069354,0.65625
0931,257,3,13,50.71473,3.157369,0.1875
0931,75,0,21,50.637337,3.084894,0.0
0931,263,0,1,50.69626,3.209156,0.0
0931,234,8,8,50.7004,3.161378,0.5
0931,308,7,13,50.611307,2.994654,0.35
0931,115,5,13,50.651497,3.072316,0.2777777777777778
0931,17,2,17,50.644695,3.060867,0.10526315789473684
0931,69,5,17,50.61893,3.032539,0.22727272727272727
0931,198,3,17,50.614392,3.010842,0.15
0931,241,0,17,50.722343,3.170847,0.0
0931,45,0,18,50.62633,3.05659,0.0
0931,103,8,8,50.639828,3.106677,0.5
0931,11,22,10,50.63734,3.060977,0.6875
0931,191,8,10,50.638838,3.1317727,0.4444444444444444
0931,251,8,10,50.72551,3.156554,0.4444444444444444
0931,121,5,11,50.644855,3.013238,0.3125
0931,67,12,12,50.621952,3.04534,0.5
0931,101,1,23,50.6423,3.099291,0.041666666666666664
0931,161,11,4,50.634417,3.0822274,0.7333333333333333
0931,164,10,6,50.63393,3.061687,0.625
0931,212,9,9,50.682053,3.182205,0.5
0931,311,6,14,50.671409,3.055056,0.3
0931,94,7,16,50.63579,3.033977,0.30434782608695654
0931,96,2,24,50.64543,3.075116,0.07692307692307693
0931,175,14,2,50.60301,3.038779,0.875
0931,162,20,5,50.628544,3.065015,0.8
0931,214,7,5,50.6795,3.179257,0.5833333333333334
0931,245,11,7,50.724581,3.166122,0.6111111111111112
0931,195,10,10,50.631135,3.008346,0.5
0931,183,2,18,50.658048,3.063774,0.1
0931,145,0,1,50.61992,3.14528,0.0
0931,34,11,9,50.63413,3.041209,0.55
0931,21,6,13,50.64193,3.061774,0.3157894736842105
0931,46,5,13,50.62629,3.061198,0.2777777777777778
0931,99,10,14,50.654602,3.073805,0.4166666666666667
0931,14,25,15,50.6379088,3.0508558,0.625
0931,144,8,16,50.6258,3.14862,0.3333333333333333
0931,44,0,17,50.629063,3.053711,0.0
0931,137,6,24,50.615868,3.126089,0.2
0931,36,9,27,50.62624,3.039911,0.25
0931,171,7,7,50.62479,3.080467,0.5
0931,182,3,9,50.649644,3.03812,0.25
0931,224,2,12,50.691406,3.162704,0.14285714285714285
0931,207,16,14,50.69138,3.17966,0.5333333333333333
0931,12,9,16,50.637486,3.065902,0.36
0931,9,17,19,50.63393,3.044986,0.4722222222222222
