time_index,station_id,nb_velos_dispo,nb_places_dispo,latitude,longitude,ratio
0813,262,0,1,50.701187,3.215011,0.0
0813,13,14,4,50.63671,3.054773,0.7777777777777778
0813,248,6,6,50.728798,3.158835,0.5
0813,155,4,11,50.655098,3.051201,0.26666666666666666
0813,24,26,14,50.637078,3.070774,0.65
0813,91,8,17,50.63417,3.095958,0.32
0813,101,6,18,50.6423,3.099291,0.25
0813,213,9,9,50.68859,3.182028,0.5
0813,63,19,13,50.629738,3.078224,0.59375
0813,176,16,0,50.604525,3.031224,1.0
0813,220,11,3,50.693768,3.167666,0.7857142857142857
0813,255,7,5,50.7134,3.165011,0.5833333333333334
0813,228,0,7,50.69535,3.180779,0.0
0813,265,2,14,50.67441,3.14721,0.125
0813,132,3,15,50.61606,3.132006,0.16666666666666666
0813,50,1,24,50.62224,3.067004,0.04
0813,263,0,1,50.69626,3.209156,0.0
0813,201,26,4,50.673943,3.163443,0.8666666666666667
0813,10,27,5,50.63589,3.062471,0.84375
0813,189,11,5,50.646418,3.106625,0.6875
0813,211,12,6,50.674164,3.174519,0.6666666666666666
0813,133,7,11,50.61915,3.126501,0.3888888888888889
0813,162,15,11,50.628544,3.065015,0.5769230769230769
0813,88,18,12,50.635082,3.058015,0.6
0813,159,28,12,50.637726,3.071892,0.7
0813,55,11,13,50.617847,3.061758,0.4583333333333333
0813,175,12,4,50.60301,3.038779,0.75
0813,116,0,16,50.64891,3.078336,0.0
0813,47,8,18,50.62824,3.069233,0.3076923076923077
0813,78,0,18,50.615536,3.048518,0.0
0813,51,16,23,50.62482,3.068689,0.41025641025641024
0813,204,11,4,50.684757,3.171974,0.7333333333333333
0813,14,35,5,50.6379088,3.0508558,0.875
0813,203,3,17,50.68079,3.167454,0.15
0813,241,0,17,50.722343,3.170847,0.0
0813,17,1,18,50.644695,3.060867,0.05263157894736842
0813,7,12,4,50.633728,3.055307,0.75
0813,227,8,10,50.699436,3.159658,0.4444444444444444
0813,184,0,12,50.651107,3.0678,0.0
0813,217,0,16,50.67869,3.172558,0.0
0813,303,3,17,50.60709,3.06558,0.15
0813,22,11,18,50.64144,3.064974,0.3793103448275862
0813,38,0,18,50.62429,3.045321,0.0
0813,218,0,24,50.67392,3.18514,0.0
0813,12,24,1,50.637486,3.065902,0.96
0813,95,16,2,50.63041,3.097037,0.8888888888888888
0813,267,11,9,50.670155,3.154898,0.55
0813,71,13,9,50.634045,3.030778,0.5909090909090909
0813,119,8,10,50.640957,3.018803,0.4444444444444444
0813,196,7,10,50.636003,3.009396,0.4117647058823529
0813,274,7,13,50.667847,3.192974,0.35
0813,49,9,15,50.61957,3.068387,0.375
0813,108,0,20,50.645267,3.100516,0.0
0813,271,18,2,50.669867,3.131048,0.9
0813,210,9,3,50.676884,3.187817,0.75
0813,300,5,15,50.64466,3.03027,0.25
0813,20,6,24,50.640385,3.062053,0.2
0813,143,0,1,50.61776,3.146026,0.0
0813,126,0,3,50.64057,3.115571,0.0
0813,121,6,10,50.644855,3.013238,0.375
0813,21,7,13,50.64193,3.061774,0.35
0813,31,6,14,50.644264,3.062935,0.3
0813,4,3,16,50.624695,3.048961,0.15789473684210525
0813,198,4,16,50.614392,3.010842,0.2
0813,130,10,20,50.62435,3.1283,0.3333333333333333
0813,15,1,23,50.6449,3.050645,0.041666666666666664
0813,82,5,27,50.63999,3.075204,0.15625
0813,186,8,4,50.672415,3.0924237,0.6666666666666666
0813,32,9,7,50.64142,3.067873,0.5625
0813,115,7,11,50.651497,3.072316,0.3888888888888889
0813,135,11,13,50.63745,3.123145,0.4583333333333333
0813,34,13,7,50.63413,3.041209,0.65
0813,85,5,7,50.62504,3.1008,0.4166666666666667
0813,123,7,10,50.665348,3.075792,0.4117647058823529
0813,58,8,12,50.62073,3.07895,0.4
0813,257,3,13,50.71473,3.157369,0.1875
0813,312,7,13,50.672499,3.069317,0.35
0813,131,11,14,50.619602,3.13197,0.44
0813,302,1,19,50.60301,3.06925,0.05
0813,183,0,20,50.658048,3.063774,0.0
0813,61,2,22,50.629246,3.075218,0.08333333333333333
0813,73,2,22,50.642315,3.087979,0.08333333333333333
0813,40,5,23,50.62614,3.051729,0.17857142857142858
0813,173,17,3,50.61352,3.03677,0.85
0813,192,5,9,50.6312847,3.1350379,0.35714285714285715
0813,242,5,13,50.716843,3.167834,0.2777777777777778
0813,254,4,14,50.71732,3.162455,0.2222222222222222
0813,86,7,5,50.62903,3.10295,0.5833333333333334
0813,177,9,5,50.616763,3.023032,0.6428571428571429
0813,234,8,8,50.7004,3.161378,0.5
0813,174,18,9,50.607664,3.038892,0.6666666666666666
0813,182,2,10,50.649644,3.03812,0.16666666666666666
0813,311,6,14,50.671409,3.055056,0.3
0813,233,0,16,50.702026,3.172654,0.0
0813,113,0,18,50.651337,3.08945,0.0
0813,299,0,1,50.6151322,3.0863797,0.0
0813,240,5,7,50.71922,3.163396,0.4166666666666667
0813,258,0,11,50.710735,3.159881,0.0
0813,247,4,11,50.73418,3.1681724,0.26666666666666666
0813,44,1,17,50.629063,3.053711,0.05555555555555555
0813,141,7,17,50.61682,3.140808,0.2916666666666667
0813,270,1,19,50.664211,3.130098,0.05
0813,74,0,20,50.641238,3.083175,0.0
0813,214,7,5,50.6795,3.179257,0.5833333333333334
0813,236,6,5,50.694714,3.192643,0.5454545454545454
0813,165,5,9,50.632367,3.05816,0.35714285714285715
0813,206,11,12,50.688015,3.174815,0.4782608695652174
0813,261,0,13,50.732277,3.157656,0.0
0813,137,5,25,50.615868,3.126089,0.16666666666666666
0813,81,5,5,50.63529,3.115088,0.5
0813,306,7,13,50.63599,3.13566,0.35
0813,66,5,13,50.63237,3.066273,0.2777777777777778
0813,179,1,19,50.626063,3.090931,0.05
0813,25,10,22,50.636399,3.069354,0.3125
0813,8,2,38,50.632366,3.062313,0.05
0813,193,17,3,50.658146,3.042003,0.85
0813,229,15,3,50.692368,3.185092,0.8333333333333334
0813,250,15,7,50.72389,3.160344,0.6818181818181818
0813,99,14,9,50.654602,3.073805,0.6086956521739131
0813,103,7,9,50.639828,3.106677,0.4375
0813,226,6,9,50.68645,3.170006,0.4
0813,252,3,13,50.72263,3.150377,0.1875
0813,30,2,17,50.64297,3.067375,0.10526315789473684
0813,199,15,5,50.612921,3.003634,0.75
0813,239,9,5,50.730289,3.167723,0.6428571428571429
0813,208,5,7,50.67544,3.181998,0.4166666666666667
0813,237,4,8,50.719803,3.156338,0.3333333333333333
0813,310,9,11,50.676607,3.065308,0.45
0813,222,0,12,50.6941,3.172165,0.0
0813,150,9,15,50.60548,3.077622,0.375
0813,53,10,28,50.61856,3.049251,0.2631578947368421
0813,188,3,9,50.637103,3.097538,0.25
0813,194,11,9,50.665968,3.049462,0.55
0813,151,2,11,50.60642,3.072209,0.15384615384615385
0813,169,0,12,50.644685,3.057953,0.0
0813,158,7,13,50.644943,3.036932,0.35
0813,79,5,15,50.61295,3.047268,0.25
0813,114,0,16,50.62651,3.079211,0.0
0813,167,2,18,50.626382,3.047066,0.1
0813,125,0,20,50.643883,3.118579,0.0
0813,48,25,1,50.61843,3.07241,0.9615384615384616
0813,76,22,1,50.632996,3.089651,0.9565217391304348
0813,313,9,11,50.666236,3.06415,0.45
0813,195,9,11,50.631135,3.008346,0.45
0813,90,0,20,50.64569,3.0858226,0.0
0813,180,7,8,50.652107,3.029324,0.4666666666666667
0813,249,4,8,50.728798,3.154051,0.3333333333333333
0813,139,7,9,50.62577,3.144714,0.4375
0813,190,5,9,50.662941,3.057167,0.35714285714285715
0813,243,3,9,50.718204,3.15749,0.25
0813,269,8,12,50.676944,3.167306,0.4
0813,224,2,12,50.691406,3.162704,0.14285714285714285
0813,29,1,27,50.647236,3.059376,0.03571428571428571
0813,27,3,33,50.635014,3.064802,0.08333333333333333
0813,128,0,1,50.633842,3.127335,0.0
0813,147,12,4,50.614052,3.062195,0.75
0813,230,3,7,50.70076,3.18407,0.3
0813,70,7,9,50.63424,3.073991,0.4375
0813,54,0,20,50.62338,3.051565,0.0
0813,178,7,11,50.615246,3.018435,0.3888888888888889
0813,94,10,14,50.63579,3.033977,0.4166666666666667
0813,207,16,14,50.69138,3.17966,0.5333333333333333
0813,36,9,27,50.62624,3.039911,0.25
0813,304,17,3,50.66351,3.138682,0.85
0813,171,13,3,50.62479,3.080467,0.8125
0813,9,31,5,50.63393,3.044986,0.8611111111111112
0813,205,0,18,50.69106,3.1902585,0.0
0813,163,0,19,50.625597,3.064497,0.0
0813,68,24,0,50.630836,3.047778,1.0
0813,157,9,7,50.64989,3.042045,0.5625
0813,212,9,9,50.682053,3.182205,0.5
0813,232,3,11,50.699734,3.174347,0.21428571428571427
0813,6,10,14,50.630943,3.060299,0.4166666666666667
0813,272,4,14,50.671517,3.183123,0.2222222222222222
0813,309,8,16,50.610949,2.983948,0.3333333333333333
0813,307,2,18,50.61245,3.12268,0.1
0813,102,7,9,50.64218,3.109699,0.4375
0813,41,5,11,50.656487,3.088004,0.3125
0813,152,4,12,50.610582,3.065103,0.25
0813,160,8,12,50.637709,3.077478,0.4
0813,62,14,16,50.632965,3.076437,0.4666666666666667
0813,259,0,17,50.704693,3.160515,0.0
0813,56,0,18,50.620304,3.055471,0.0
0813,57,0,18,50.62418,3.058902,0.0
0813,301,1,19,50.65281,3.02604,0.05
0813,146,19,0,50.63268,3.052483,1.0
0813,231,0,10,50.689762,3.177179,0.0
0813,170,1,11,50.62195,3.06038,0.08333333333333333
0813,77,6,12,50.62286,3.0914,0.3333333333333333
0813,104,6,12,50.64584,3.112744,0.3333333333333333
0813,238,1,16,50.72075,3.152659,0.058823529411764705
0813,107,6,6,50.636105,3.106438,0.5
0813,197,10,10,50.630834,3.013247,0.5
0813,93,5,13,50.628918,3.088147,0.2777777777777778
0813,191,4,14,50.638838,3.1317727,0.2222222222222222
0813,100,0,24,50.651638,3.081625,0.0
0813,202,0,24,50.677914,3.162353,0.0
0813,305,15,5,50.67057,3.1443,0.75
0813,11,24,8,50.63734,3.060977,0.75
0813,26,12,10,50.63457,3.068007,0.5454545454545454
0813,216,6,10,50.681797,3.194122,0.375
0813,276,8,12,50.67756,3.14019,0.4
0813,140,0,14,50.623795,3.144815,0.0
0813,144,9,15,50.6258,3.14862,0.375
0813,225,0,16,50.683987,3.16327,0.0
0813,75,0,21,50.637337,3.084894,0.0
0813,138,16,4,50.631298,3.126914,0.8
0813,168,8,6,50.630855,3.0226,0.5714285714285714
0813,60,11,9,50.621185,3.072363,0.55
0813,275,9,11,50.665946,3.198101,0.45
0813,96,6,21,50.64543,3.075116,0.2222222222222222
0813,3,18,0,50.636093,3.050447,1.0
0813,166,15,1,50.63084,3.04483,0.9375
0813,209,16,4,50.674995,3.195737,0.8
0813,35,22,5,50.62899,3.043307,0.8148148148148148
0813,256,6,10,50.73682,3.1712308,0.375
0813,246,2,10,50.72271,3.163794,0.16666666666666666
0813,260,4,16,50.721308,3.158104,0.2
0813,65,1,17,50.621128,3.035483,0.05555555555555555
0813,46,0,18,50.62629,3.061198,0.0
0813,39,1,22,50.627674,3.050173,0.043478260869565216
0813,52,0,22,50.62276,3.063799,0.0
0813,145,0,1,50.61992,3.14528,0.0
0813,156,22,2,50.661602,3.050322,0.9166666666666666
0813,164,14,2,50.63393,3.061687,0.875
0813,23,11,7,50.639107,3.065548,0.6111111111111112
0813,37,1,11,50.62337,3.037553,0.08333333333333333
0813,98,0,24,50.6549,3.068756,0.0
0813,111,6,6,50.62486,3.116677,0.5
0813,266,4,8,50.6875,3.1585592,0.3333333333333333
0813,251,8,10,50.72551,3.156554,0.4444444444444444
0813,308,7,13,50.611307,2.994654,0.35
0813,124,5,13,50.6618,3.096235,0.2777777777777778
0813,33,11,15,50.63022,3.035681,0.4230769230769231
0813,148,5,15,50.612194,3.074952,0.25
0813,67,1,23,50.621952,3.04534,0.041666666666666664
0813,161,11,4,50.634417,3.0822274,0.7333333333333333
0813,149,9,8,50.609592,3.075483,0.5294117647058824
0813,28,31,9,50.634686,3.048344,0.775
0813,97,4,13,50.65937,3.074057,0.23529411764705882
0813,219,3,14,50.695477,3.164222,0.17647058823529413
0813,268,0,16,50.6967934,3.1684926,0.0
0813,43,1,31,50.629044,3.058288,0.03125
0813,244,6,6,50.727453,3.166828,0.5
0813,64,13,7,50.6318,3.071392,0.65
0813,245,11,7,50.724581,3.166122,0.6111111111111112
0813,273,11,9,50.670865,3.198875,0.55
0813,154,6,10,50.65532,3.060615,0.375
0813,142,8,12,50.6206,3.138207,0.4
0813,221,17,12,50.69184,3.173925,0.5862068965517241
0813,80,17,13,50.61989,3.084357,0.5666666666666667
0813,16,1,15,50.646225,3.053499,0.0625
0813,19,9,15,50.64031,3.05774,0.375
0813,117,4,17,50.641617,3.031375,0.19047619047619047
0813,83,21,3,50.63378,3.02059,0.875
0813,122,8,8,50.666033,3.087591,0.5
0813,2,16,15,50.632233,3.046134,0.5161290322580645
0813,110,0,16,50.62487,3.034234,0.0
0813,5,5,35,50.63156,3.054738,0.125
0813,59,0,1,50.622223,3.077127,0.0
0813,223,7,5,50.6903353,3.1690075,0.5833333333333334
0813,185,5,7,50.65722,3.056147,0.4166666666666667
0813,253,5,7,50.72498,3.150884,0.4166666666666667
0813,72,10,8,50.637302,3.024314,0.5555555555555556
0813,172,2,9,50.612635,3.059261,0.18181818181818182
0813,120,7,11,50.63899,3.01154,0.3888888888888889
0813,18,0,14,50.6428,3.055932,0.0
0813,84,9,15,50.627243,3.109266,0.375
0813,42,0,17,50.62789,3.06209,0.0
0813,45,0,18,50.62633,3.05659,0.0
0813,69,3,19,50.61893,3.032539,0.13636363636363635
0813,153,1,23,50.65547,3.064989,0.041666666666666664
0813,200,0,24,50.679123,3.155906,0.0
